,play_id,game_id,home_team,away_team,total_home_score,total_away_score,game_date
359451,4193,2017010101,CIN,BAL,27,10,2017-01-01
359632,4090,2017010110,TEN,HOU,23,17,2017-01-01
359807,4063,2017010109,TB,CAR,16,16,2017-01-01
360007,4747,2017010108,PIT,CLE,27,24,2017-01-01
360182,3985,2017010107,PHI,DAL,27,13,2017-01-01
360348,3862,2017010106,NYJ,BUF,30,10,2017-01-01
360505,3623,2017010105,MIN,CHI,37,10,2017-01-01
360693,4432,2017010103,IND,JAX,24,20,2017-01-01
360858,3900,2017010104,MIA,NE,14,35,2017-01-01
361030,3924,2017010114,SD,KC,26,36,2017-01-01
361207,4294,2017010113,LA,ARI,6,43,2017-01-01
361370,4010,2017010112,DEN,OAK,24,6,2017-01-01
361536,3915,2017010111,WAS,NYG,10,19,2017-01-01
361709,4171,2017010115,SF,SEA,23,25,2017-01-01
361903,4402,2017010100,ATL,NO,38,32,2017-01-01
362093,4383,2017010102,DET,GB,24,31,2017-01-01
362296,4835,2017090700,NE,KC,27,42,2017-09-07
362469,4443,2017091000,BUF,NYJ,21,12,2017-09-10
362640,4125,2017091008,WAS,PHI,16,28,2017-09-10
362812,3904,2017091007,TEN,OAK,16,26,2017-09-10
362995,4187,2017091005,HOU,JAX,7,28,2017-09-10
363182,4609,2017091004,DET,ARI,34,22,2017-09-10
363346,3893,2017091003,CLE,PIT,18,20,2017-09-10
363509,4024,2017091001,CHI,ATL,17,23,2017-09-10
363678,3931,2017091002,CIN,BAL,0,20,2017-09-10
363840,3836,2017091009,LA,IND,44,9,2017-09-10
364003,3845,2017091011,SF,CAR,3,23,2017-09-10
364178,4146,2017091010,GB,SEA,17,9,2017-09-10
364347,3935,2017091012,DAL,NYG,19,3,2017-09-10
364518,4002,2017091100,MIN,NO,29,19,2017-09-11
364683,3843,2017091101,DEN,LAC,24,21,2017-09-11
364861,4207,2017091400,CIN,HOU,9,13,2017-09-14
365049,4305,2017091700,BAL,CLE,24,10,2017-09-17
365217,3911,2017091707,TB,CHI,29,7,2017-09-17
365405,4614,2017091706,PIT,MIN,26,9,2017-09-17
365591,4519,2017091705,NO,NE,20,36,2017-09-17
365764,4050,2017091704,KC,PHI,27,20,2017-09-17
365939,4100,2017091703,JAX,TEN,16,37,2017-09-17
366125,4422,2017091702,IND,ARI,13,16,2017-09-17
366285,3673,2017091701,CAR,BUF,9,3,2017-09-17
366442,3673,2017091709,OAK,NYJ,45,20,2017-09-17
366612,3915,2017091708,LAC,MIA,17,19,2017-09-17
366789,4116,2017091712,SEA,SF,12,9,2017-09-17
366959,4083,2017091711,LA,WAS,20,27,2017-09-17
367153,4531,2017091710,DEN,DAL,41,17,2017-09-17
367333,4142,2017091713,ATL,GB,33,23,2017-09-17
367487,3619,2017091800,NYG,DET,10,23,2017-09-18
367683,4742,2017092100,SF,LA,39,41,2017-09-21
367861,4197,2017092400,JAX,BAL,44,7,2017-09-24
368059,4507,2017092405,IND,CLE,31,28,2017-09-24
368253,4625,2017092409,PHI,NYG,27,24,2017-09-24
368422,4124,2017092408,NYJ,MIA,20,6,2017-09-24
368614,4678,2017092401,BUF,DEN,26,16,2017-09-24
368769,3599,2017092402,CAR,NO,13,34,2017-09-24
368942,4346,2017092403,CHI,PIT,23,17,2017-09-24
369131,4413,2017092404,DET,ATL,25,30,2017-09-24
369298,3887,2017092406,MIN,TB,34,17,2017-09-24
369484,4326,2017092407,NE,HOU,36,32,2017-09-24
369681,4573,2017092410,TEN,SEA,33,27,2017-09-24
369859,4157,2017092411,GB,CIN,27,23,2017-09-24
370029,4066,2017092412,LAC,KC,10,24,2017-09-24
370191,3848,2017092413,WAS,OAK,27,10,2017-09-24
370367,4328,2017092500,ARI,DAL,17,28,2017-09-25
370533,3855,2017092800,GB,CHI,35,14,2017-09-28
370696,4185,2017100100,MIA,NO,0,20,2017-10-01
370864,3723,2017100105,HOU,TEN,56,14,2017-10-01
371076,4781,2017100108,NYJ,JAX,23,19,2017-10-01
371247,3992,2017100107,NE,CAR,30,33,2017-10-01
371414,3850,2017100106,MIN,DET,7,14,2017-10-01
371591,4141,2017100101,ATL,BUF,17,22,2017-10-01
371780,4461,2017100102,BAL,PIT,9,26,2017-10-01
371949,3978,2017100103,CLE,CIN,7,31,2017-10-01
372135,4386,2017100104,DAL,LA,30,35,2017-10-01
372316,4097,2017100110,LAC,PHI,24,26,2017-10-01
372507,4280,2017100111,TB,NYG,25,23,2017-10-01
372724,5531,2017100109,ARI,SF,18,15,2017-10-01
372887,3798,2017100112,DEN,OAK,16,10,2017-10-01
373056,4171,2017100113,SEA,IND,44,18,2017-10-01
373227,3876,2017100200,KC,WAS,29,20,2017-10-02
373420,4604,2017100500,TB,NE,14,19,2017-10-05
373587,3929,2017100801,CLE,NYJ,14,17,2017-10-08
373764,4054,2017100802,DET,CAR,24,27,2017-10-08
373971,4839,2017100803,IND,SF,26,23,2017-10-08
374143,3967,2017100804,MIA,TEN,15,10,2017-10-08
374322,4178,2017100800,CIN,BUF,20,16,2017-10-08
374520,4642,2017100805,NYG,LAC,22,27,2017-10-08
374693,4142,2017100807,PIT,JAX,9,29,2017-10-08
374861,3918,2017100806,PHI,ARI,34,7,2017-10-08
375044,4295,2017100808,LA,SEA,10,16,2017-10-08
375206,3576,2017100809,OAK,BAL,17,29,2017-10-08
375380,3992,2017100810,DAL,GB,31,35,2017-10-08
375564,4242,2017100811,HOU,KC,34,41,2017-10-08
375746,4377,2017100900,CHI,MIN,17,20,2017-10-09
375935,4368,2017101200,CAR,PHI,23,28,2017-10-12
376140,4801,2017101501,BAL,CHI,22,26,2017-10-15
376317,4220,2017101502,HOU,CLE,33,16,2017-10-15
376502,4445,2017101503,MIN,GB,23,10,2017-10-15
376711,5240,2017101504,NO,DET,49,36,2017-10-15
376871,3647,2017101500,ATL,MIA,17,20,2017-10-15
377055,4452,2017101505,NYJ,NE,17,24,2017-10-15
377250,4779,2017101506,WAS,SF,26,24,2017-10-15
377428,4325,2017101507,ARI,TB,38,31,2017-10-15
377606,4182,2017101508,JAX,LA,17,26,2017-10-15
377766,3717,2017101509,KC,PIT,13,21,2017-10-15
377926,3673,2017101510,OAK,LAC,16,17,2017-10-15
378104,4204,2017101511,DEN,NYG,10,22,2017-10-15
